Baisley Park,Queens,29.36045577913085
Flushing Meadows-Corona Park,Queens,27.30484573361766
South Jamaica,Queens,26.29491623987347
Randalls Island,Manhattan,24.150989940227525
Astoria Park,Queens,21.70641711214753
Briarwood/Jamaica Hills,Queens,19.945064631789343
Springfield Gardens South,Queens,19.468309288781914
Jamaica,Queens,19.283943000137896
Corona,Queens,18.228769248155974
LaGuardia Airport,Queens,18.181338808372995
Jamaica Bay,Queens,17.100529446757896
Maspeth,Queens,17.005450640079548
Eltingville/Annadale/Prince's Bay,Staten Island,16.837764756944445
JFK Airport,Queens,16.777725348249636
Battery Park,Manhattan,12.849780311142876
Morningside Heights,Manhattan,12.453698026584078
Battery Park City,Manhattan,12.448848404428606
Greenwich Village North,Manhattan,12.446949891694036
Rikers Island,Bronx,12.3063
World Trade Center,Manhattan,12.295411924133376
